,order,method,metric,value,dataName
74,7,infomap,adjusted_rand,0.42557453675365786,YeastB
75,3,labelprop,vi,0.47174139999527975,YeastB
76,3,labelprop,nmi,0.8362668627823682,YeastB
77,3,labelprop,split-join,8.0,YeastB
78,3,labelprop,rand,0.9204204204204203,YeastB
79,3,labelprop,adjusted_rand,0.804076331301828,YeastB
80,4,labelprop,vi,0.7076552664286719,YeastB
81,4,labelprop,nmi,0.7934896109753564,YeastB
82,4,labelprop,split-join,14.0,YeastB
83,4,labelprop,rand,0.8318318318318318,YeastB
84,4,labelprop,adjusted_rand,0.516647010795609,YeastB
85,5,labelprop,vi,0.9515597091491488,YeastB
86,5,labelprop,nmi,0.7407642130781621,YeastB
87,5,labelprop,split-join,15.0,YeastB
88,5,labelprop,rand,0.8003003003003002,YeastB
89,5,labelprop,adjusted_rand,0.40395666509656086,YeastB
90,6,labelprop,vi,0.9515597091491488,YeastB
91,6,labelprop,nmi,0.7407642130781621,YeastB
92,6,labelprop,split-join,15.0,YeastB
93,6,labelprop,rand,0.8003003003003002,YeastB
94,6,labelprop,adjusted_rand,0.40395666509656086,YeastB
95,7,labelprop,vi,0.9515597091491488,YeastB
96,7,labelprop,nmi,0.7407642130781621,YeastB
97,7,labelprop,split-join,15.0,YeastB
98,7,labelprop,rand,0.8003003003003002,YeastB
99,7,labelprop,adjusted_rand,0.40395666509656086,YeastB
100,3,eigen,vi,0.633756560139247,YeastB
101,3,eigen,nmi,0.7909809680360131,YeastB
102,3,eigen,split-join,12.0,YeastB
103,3,eigen,rand,0.8438438438438436,YeastB
104,3,eigen,adjusted_rand,0.5775142731664464,YeastB
105,4,eigen,vi,1.1341330203754327,YeastB
106,4,eigen,nmi,0.6829924377156006,YeastB
107,4,eigen,split-join,21.0,YeastB
108,4,eigen,rand,0.8153153153153152,YeastB
109,4,eigen,adjusted_rand,0.36018557570645265,YeastB
110,5,eigen,vi,1.2502769669009348,YeastB
111,5,eigen,nmi,0.6728330417318035,YeastB
112,5,eigen,split-join,20.0,YeastB
113,5,eigen,rand,0.8198198198198199,YeastB
114,5,eigen,adjusted_rand,0.3345323741007197,YeastB
115,6,eigen,vi,1.2502769669009348,YeastB
116,6,eigen,nmi,0.6728330417318035,YeastB
117,6,eigen,split-join,20.0,YeastB
118,6,eigen,rand,0.8198198198198199,YeastB
119,6,eigen,adjusted_rand,0.3345323741007197,YeastB
120,7,eigen,vi,1.2502769669009348,YeastB
121,7,eigen,nmi,0.6728330417318035,YeastB
122,7,eigen,split-join,20.0,YeastB
123,7,eigen,rand,0.8198198198198199,YeastB
124,7,eigen,adjusted_rand,0.3345323741007197,YeastB
125,3,leiden,vi,2.0892948783575718,YeastB
126,3,leiden,nmi,0.592931668746469,YeastB
127,3,leiden,split-join,30.0,YeastB
128,3,leiden,rand,0.7297297297297296,YeastB
129,3,leiden,adjusted_rand,0.0,YeastB
130,4,leiden,vi,1.5437254705915686,YeastB
