,method1,method2,metric,value,dataName
49,infomap,multilevel,adjusted_rand,0.011363320323726007,Copperfield
50,infomap,multilevel,vi,1.76096053026049,Copperfield
51,infomap,multilevel,nmi,0.050979480432302424,Copperfield
53,infomap,multilevel,rand,0.18211068211068202,Copperfield
54,infomap,multilevel,adjusted_rand,0.005405634860309178,Copperfield
55,infomap,multilevel,vi,1.7470117231239843,Copperfield
56,infomap,multilevel,nmi,0.042250019012512165,Copperfield
58,infomap,multilevel,rand,0.18404118404118391,Copperfield
59,infomap,multilevel,adjusted_rand,0.0008673264968546398,Copperfield
60,infomap,multilevel,vi,2.006012890862019,Copperfield
61,infomap,multilevel,nmi,0.04555570934564182,Copperfield
62,infomap,multilevel,split-join,90.0,Copperfield
63,infomap,multilevel,rand,0.2197554697554697,Copperfield
64,infomap,multilevel,adjusted_rand,-0.007413885860105845,Copperfield
65,infomap,multilevel,vi,1.8609683712760867,Copperfield
66,infomap,multilevel,nmi,0.032218953117555,Copperfield
68,infomap,multilevel,rand,0.20511583011583018,Copperfield
69,infomap,multilevel,adjusted_rand,0.011693407251230562,Copperfield
70,infomap,multilevel,vi,1.7520003845000096,Copperfield
71,infomap,multilevel,nmi,0.06561107586001787,Copperfield
72,infomap,multilevel,split-join,89.0,Copperfield
73,infomap,multilevel,rand,0.20881595881595882,Copperfield
74,infomap,multilevel,adjusted_rand,0.013758045156695733,Copperfield
75,infomap,multilevel,vi,1.9187811809454147,Copperfield
76,infomap,multilevel,nmi,0.06666163322085743,Copperfield
77,infomap,multilevel,split-join,82.0,Copperfield
78,infomap,multilevel,rand,0.1935328185328184,Copperfield
79,infomap,multilevel,adjusted_rand,0.005882803922833263,Copperfield
80,infomap,multilevel,vi,1.7919841410448256,Copperfield
81,infomap,multilevel,nmi,0.05487196884879765,Copperfield
83,infomap,multilevel,rand,0.18709781209781204,Copperfield
84,infomap,multilevel,adjusted_rand,0.008026355844540964,Copperfield
85,infomap,multilevel,vi,1.9384815976133607,Copperfield
86,infomap,multilevel,nmi,0.05472859544218327,Copperfield
88,infomap,multilevel,rand,0.1909588159588158,Copperfield
89,infomap,multilevel,adjusted_rand,0.0027326649285571284,Copperfield
90,infomap,multilevel,vi,1.884528483676335,Copperfield
91,infomap,multilevel,nmi,0.050228022491700275,Copperfield
93,infomap,multilevel,rand,0.17133204633204643,Copperfield
