,method1,method2,metric,value,dataName
14,infomap,multilevel,adjusted_rand,0.011432616202998644,Copperfield
15,infomap,multilevel,vi,1.847967571067714,Copperfield
16,infomap,multilevel,nmi,0.06910067613507845,Copperfield
17,infomap,multilevel,split-join,91.0,Copperfield
18,infomap,multilevel,rand,0.2271557271557272,Copperfield
19,infomap,multilevel,adjusted_rand,0.00433475999472144,Copperfield
20,infomap,multilevel,vi,1.5251777514535625,Copperfield
21,infomap,multilevel,nmi,0.04518888784472864,Copperfield
23,infomap,multilevel,rand,0.21911196911196923,Copperfield
24,infomap,multilevel,adjusted_rand,0.008353481366841001,Copperfield
25,infomap,multilevel,vi,1.776797579487634,Copperfield
26,infomap,multilevel,nmi,0.053372298724743576,Copperfield
27,infomap,multilevel,split-join,87.0,Copperfield
28,infomap,multilevel,rand,0.2097812097812097,Copperfield
29,infomap,multilevel,adjusted_rand,0.011294098843488537,Copperfield
30,infomap,multilevel,vi,1.5390764908859502,Copperfield
31,infomap,multilevel,nmi,0.04260641997525286,Copperfield
33,infomap,multilevel,rand,0.19900257400257382,Copperfield
34,infomap,multilevel,adjusted_rand,0.00979135497680282,Copperfield
35,infomap,multilevel,vi,1.9000941476989202,Copperfield
36,infomap,multilevel,nmi,0.042402957227907045,Copperfield
37,infomap,multilevel,split-join,93.0,Copperfield
38,infomap,multilevel,rand,0.20012870012870013,Copperfield
39,infomap,multilevel,adjusted_rand,0.005378303269660345,Copperfield
40,infomap,multilevel,vi,1.7470630350141552,Copperfield
41,infomap,multilevel,nmi,0.048127820378757694,Copperfield
43,infomap,multilevel,rand,0.18983268983268992,Copperfield
44,infomap,multilevel,adjusted_rand,-0.005379044172155302,Copperfield
45,infomap,multilevel,vi,1.7289974607510594,Copperfield
46,infomap,multilevel,nmi,0.05696915875109004,Copperfield
48,infomap,multilevel,rand,0.20045045045045037,Copperfield
49,infomap,multilevel,adjusted_rand,0.007467676591727753,Copperfield
50,infomap,multilevel,vi,1.717325737624515,Copperfield
51,infomap,multilevel,nmi,0.05294879680308467,Copperfield
52,infomap,multilevel,split-join,81.0,Copperfield
53,infomap,multilevel,rand,0.18275418275418287,Copperfield
54,infomap,multilevel,adjusted_rand,0.00612721774619885,Copperfield
55,infomap,multilevel,vi,1.9171937597451605,Copperfield
56,infomap,multilevel,nmi,0.050783939298556596,Copperfield
58,infomap,multilevel,rand,0.2440476190476191,Copperfield
59,infomap,multilevel,adjusted_rand,0.00518995696506983,Copperfield
60,infomap,multilevel,vi,2.0495933432305797,Copperfield
61,infomap,multilevel,nmi,0.07089881709391065,Copperfield
62,infomap,multilevel,split-join,80.0,Copperfield
63,infomap,multilevel,rand,0.17229729729729734,Copperfield
64,infomap,multilevel,adjusted_rand,0.008292269727420533,Copperfield
65,infomap,multilevel,vi,1.8955107224980452,Copperfield
66,infomap,multilevel,nmi,0.04577863284837681,Copperfield
68,infomap,multilevel,rand,0.21010296010296012,Copperfield
