,order,method,metric,value,dataName
51,3,leiden,nmi,0.09967589207468174,Bsubtilis
52,3,leiden,split-join,265.0,Bsubtilis
53,3,leiden,rand,0.10020078141957878,Bsubtilis
54,3,leiden,adjusted_rand,0.0,Bsubtilis
55,4,leiden,vi,5.089478144583169,Bsubtilis
56,4,leiden,nmi,0.16867471290990776,Bsubtilis
57,4,leiden,split-join,264.0,Bsubtilis
58,4,leiden,rand,0.20569242457130443,Bsubtilis
59,4,leiden,adjusted_rand,0.0,Bsubtilis
60,3,multilevel,vi,2.011253947863993,Bsubtilis
61,3,multilevel,nmi,0.1192926102135317,Bsubtilis
62,3,multilevel,split-join,197.0,Bsubtilis
63,3,multilevel,rand,0.24658128934230505,Bsubtilis
64,3,multilevel,adjusted_rand,0.02158522757180068,Bsubtilis
65,4,multilevel,vi,2.0992587556989535,Bsubtilis
66,4,multilevel,nmi,0.1622963407613271,Bsubtilis
67,4,multilevel,split-join,205.0,Bsubtilis
68,4,multilevel,rand,0.32472324723247226,Bsubtilis
69,4,multilevel,adjusted_rand,0.03364433499165055,Bsubtilis
70,3,spinglass,vi,2.6761027098239953,Bsubtilis
71,3,spinglass,nmi,0.12027973520511909,Bsubtilis
72,3,spinglass,split-join,190.0,Bsubtilis
73,3,spinglass,rand,0.20631647492945498,Bsubtilis
74,3,spinglass,adjusted_rand,0.020829028144595446,Bsubtilis
75,4,spinglass,vi,2.6388867078999256,Bsubtilis
76,4,spinglass,nmi,0.19158712936294467,Bsubtilis
77,4,spinglass,split-join,197.0,Bsubtilis
78,4,spinglass,rand,0.3072498372042542,Bsubtilis
79,4,spinglass,adjusted_rand,0.04923008156052505,Bsubtilis
80,3,walktrap,vi,2.121063765884601,Bsubtilis
81,3,walktrap,nmi,0.1863419813469282,Bsubtilis
82,3,walktrap,split-join,172.0,Bsubtilis
83,3,walktrap,rand,0.26994247883655287,Bsubtilis
84,3,walktrap,adjusted_rand,0.043107056532376224,Bsubtilis
85,4,walktrap,vi,1.9599356907882501,Bsubtilis
86,4,walktrap,nmi,0.307226023994048,Bsubtilis
87,4,walktrap,split-join,170.0,Bsubtilis
88,4,walktrap,rand,0.37456587801172125,Bsubtilis
89,4,walktrap,adjusted_rand,0.09823230158746196,Bsubtilis
0,3,between,vi,1.696088213006714,Iceland
1,3,between,nmi,0.05936916870217871,Iceland
2,3,between,split-join,47.0,Iceland
3,3,between,rand,0.23563998190863844,Iceland
4,3,between,adjusted_rand,0.006281564061581456,Iceland
5,4,between,vi,1.4359725390480036,Iceland
6,4,between,nmi,0.3317796739330609,Iceland
7,4,between,split-join,42.0,Iceland
8,4,between,rand,0.4156490275893261,Iceland
9,4,between,adjusted_rand,0.10929057846291992,Iceland
10,5,between,vi,1.529747756385933,Iceland
11,5,between,nmi,0.3807793136326655,Iceland
12,5,between,split-join,45.0,Iceland
13,5,between,rand,0.5092718227046585,Iceland
14,5,between,adjusted_rand,0.14108315249284203,Iceland
15,6,between,vi,2.002010188820056,Iceland
16,6,between,nmi,0.16310381183557696,Iceland
17,6,between,split-join,60.0,Iceland
18,6,between,rand,0.5395748530076888,Iceland
19,6,between,adjusted_rand,0.09488513942271734,Iceland
20,3,fastgreedy,vi,1.7756686522097487,Iceland
21,3,fastgreedy,nmi,0.05971021908697663,Iceland
22,3,fastgreedy,split-join,50.0,Iceland
23,3,fastgreedy,rand,0.20985979194934404,Iceland
24,3,fastgreedy,adjusted_rand,0.004280240800923564,Iceland
25,4,fastgreedy,vi,1.6008608375535591,Iceland
26,4,fastgreedy,nmi,0.28348709472071565,Iceland
27,4,fastgreedy,split-join,46.0,Iceland
28,4,fastgreedy,rand,0.37901402080506563,Iceland
29,4,fastgreedy,adjusted_rand,0.07338212899379785,Iceland
30,5,fastgreedy,vi,1.6712329042683054,Iceland
31,5,fastgreedy,nmi,0.3460834984102883,Iceland
32,5,fastgreedy,split-join,47.0,Iceland
33,5,fastgreedy,rand,0.47535052012663936,Iceland
34,5,fastgreedy,adjusted_rand,0.09196413967146187,Iceland
35,6,fastgreedy,vi,2.0516958290849585,Iceland
36,6,fastgreedy,nmi,0.17185931993304143,Iceland
37,6,fastgreedy,split-join,57.0,Iceland
38,6,fastgreedy,rand,0.5355042966983264,Iceland
39,6,fastgreedy,adjusted_rand,0.08829208418704412,Iceland
40,3,infomap,vi,1.6642969818444993,Iceland
41,3,infomap,nmi,0.1388937591280009,Iceland
42,3,infomap,split-join,46.0,Iceland
43,3,infomap,rand,0.22976028946178195,Iceland
44,3,infomap,adjusted_rand,0.02543733029162083,Iceland
45,4,infomap,vi,1.4941562717679227,Iceland
46,4,infomap,nmi,0.3442525726877867,Iceland
47,4,infomap,split-join,42.0,Iceland
48,4,infomap,rand,0.4034373586612394,Iceland
49,4,infomap,adjusted_rand,0.10736064777446917,Iceland
50,5,infomap,vi,1.5446620173813088,Iceland
51,5,infomap,nmi,0.4059093140532555,Iceland
52,5,infomap,split-join,45.0,Iceland
53,5,infomap,rand,0.5015829941203075,Iceland
54,5,infomap,adjusted_rand,0.13610090562328872,Iceland
55,6,infomap,vi,2.0722512365596075,Iceland
56,6,infomap,nmi,0.17826126984297144,Iceland
57,6,infomap,split-join,58.0,Iceland
58,6,infomap,rand,0.5427408412483038,Iceland
59,6,infomap,adjusted_rand,0.10231425091351987,Iceland
60,3,labelprop,vi,1.5047984723822159,Iceland
61,3,labelprop,nmi,0.06338873262846056,Iceland
62,3,labelprop,split-join,40.0,Iceland
63,3,labelprop,rand,0.2876526458616011,Iceland
64,3,labelprop,adjusted_rand,0.012957899298789387,Iceland
65,4,labelprop,vi,1.202015345824649,Iceland
66,4,labelprop,nmi,0.3843563403734851,Iceland
67,4,labelprop,split-join,34.0,Iceland
68,4,labelprop,rand,0.4658525554047944,Iceland
69,4,labelprop,adjusted_rand,0.15014982761768741,Iceland
70,5,labelprop,vi,1.6019069031029765,Iceland
71,5,labelprop,nmi,0.2955376959439836,Iceland
72,5,labelprop,split-join,44.0,Iceland
73,5,labelprop,rand,0.48530076888285834,Iceland
74,5,labelprop,adjusted_rand,0.07883566774326052,Iceland
75,6,labelprop,vi,1.9028423567988648,Iceland
76,6,labelprop,nmi,0.13337266236824513,Iceland
77,6,labelprop,split-join,58.0,Iceland
78,6,labelprop,rand,0.527363184079602,Iceland
79,6,labelprop,adjusted_rand,0.06806958697706611,Iceland
80,3,eigen,vi,1.7716937096460303,Iceland
81,3,eigen,nmi,0.08821277318120518,Iceland
82,3,eigen,split-join,51.0,Iceland
83,3,eigen,rand,0.2116689280868386,Iceland
84,3,eigen,adjusted_rand,0.01350608659592206,Iceland
85,4,eigen,vi,1.6015529995694542,Iceland
86,4,eigen,nmi,0.30029931090230394,Iceland
87,4,eigen,split-join,47.0,Iceland
88,4,eigen,rand,0.3853459972862958,Iceland
89,4,eigen,adjusted_rand,0.08724204079958799,Iceland
90,5,eigen,vi,1.7098585767322314,Iceland
91,5,eigen,nmi,0.3449824564370957,Iceland
92,5,eigen,split-join,49.0,Iceland
93,5,eigen,rand,0.4744459520578922,Iceland
94,5,eigen,adjusted_rand,0.09272351533608862,Iceland
95,6,eigen,vi,2.170303301030673,Iceland
96,6,eigen,nmi,0.14289944369884244,Iceland
97,6,eigen,split-join,63.0,Iceland
98,6,eigen,rand,0.5183175033921302,Iceland
99,6,eigen,adjusted_rand,0.05489269626595284,Iceland
100,3,leiden,vi,4.070469655288603,Iceland
101,3,leiden,nmi,0.061869359529829665,Iceland
102,3,leiden,split-join,65.0,Iceland
103,3,leiden,rand,0.058796924468566214,Iceland
104,3,leiden,adjusted_rand,0.0,Iceland
105,4,leiden,vi,3.724658034224852,Iceland
106,4,leiden,nmi,0.20493598205639835,Iceland
107,4,leiden,split-join,64.0,Iceland
108,4,leiden,rand,0.24423337856173688,Iceland
109,4,leiden,adjusted_rand,0.0,Iceland
110,5,leiden,vi,3.4031684072313446,Iceland
111,5,leiden,nmi,0.32021154461716145,Iceland
112,5,leiden,split-join,61.0,Iceland
113,5,leiden,rand,0.3830845771144278,Iceland
114,5,leiden,adjusted_rand,0.0,Iceland
115,6,leiden,vi,3.481424117854512,Iceland
116,6,leiden,nmi,0.29353661028897876,Iceland
117,6,leiden,split-join,64.0,Iceland
118,6,leiden,rand,0.48575305291723203,Iceland
119,6,leiden,adjusted_rand,0.0,Iceland
120,3,multilevel,vi,1.777330456259408,Iceland
121,3,multilevel,nmi,0.059657720663981305,Iceland
122,3,multilevel,split-join,50.0,Iceland
123,3,multilevel,rand,0.20940750791497065,Iceland
124,3,multilevel,adjusted_rand,0.004211099121605585,Iceland
125,4,multilevel,vi,1.6025226416032188,Iceland
126,4,multilevel,nmi,0.28327639661121756,Iceland
127,4,multilevel,split-join,46.0,Iceland
128,4,multilevel,rand,0.37856173677069227,Iceland
129,4,multilevel,adjusted_rand,0.07302725889635275,Iceland
130,5,multilevel,vi,1.680914846663291,Iceland
131,5,multilevel,nmi,0.34272254799644425,Iceland
132,5,multilevel,split-join,47.0,Iceland
133,5,multilevel,rand,0.47308909995477144,Iceland
134,5,multilevel,adjusted_rand,0.08821708505145594,Iceland
135,6,multilevel,vi,2.0550324421941357,Iceland
136,6,multilevel,nmi,0.17106855780888497,Iceland
137,6,multilevel,split-join,57.0,Iceland
138,6,multilevel,rand,0.5350520126639529,Iceland
139,6,multilevel,adjusted_rand,0.087427428874274,Iceland
140,3,modularity,vi,1.7749900495067108,Iceland
141,3,modularity,nmi,0.05688020239027281,Iceland
142,3,modularity,split-join,50.0,Iceland
143,3,modularity,rand,0.209859791949344,Iceland
144,3,modularity,adjusted_rand,0.002273069524672589,Iceland
145,4,modularity,vi,1.514874375548,Iceland
146,4,modularity,nmi,0.3200293335807249,Iceland
147,4,modularity,split-join,45.0,Iceland
148,4,modularity,rand,0.38986883763003166,Iceland
149,4,modularity,adjusted_rand,0.08832043897961435,Iceland
150,5,modularity,vi,1.718191935542168,Iceland
151,5,modularity,nmi,0.32602537292142175,Iceland
152,5,modularity,split-join,50.0,Iceland
153,5,modularity,rand,0.46992311171415635,Iceland
154,5,modularity,adjusted_rand,0.08189846679086146,Iceland
155,6,modularity,vi,2.144978423521821,Iceland
156,6,modularity,nmi,0.1319694950526925,Iceland
157,6,modularity,split-join,65.0,Iceland
158,6,modularity,rand,0.5192220714608774,Iceland
159,6,modularity,adjusted_rand,0.05623799112171207,Iceland
160,3,spinglass,vi,2.0303937160796957,Iceland
161,3,spinglass,nmi,0.04776344267944149,Iceland
162,3,spinglass,split-join,46.0,Iceland
163,3,spinglass,rand,0.219810040705563,Iceland
164,3,spinglass,adjusted_rand,0.001757797215215648,Iceland
165,4,spinglass,vi,1.7702780421209847,Iceland
166,4,spinglass,nmi,0.2856160063675774,Iceland
167,4,spinglass,split-join,41.0,Iceland
168,4,spinglass,rand,0.39981908638625063,Iceland
169,4,spinglass,adjusted_rand,0.09505453273583427,Iceland
170,5,spinglass,vi,2.050339459454559,Iceland
171,5,spinglass,nmi,0.26761504514622964,Iceland
172,5,spinglass,split-join,48.0,Iceland
173,5,spinglass,rand,0.4500226142017185,Iceland
174,5,spinglass,adjusted_rand,0.04287213546153712,Iceland
175,6,spinglass,vi,2.277306402691872,Iceland
176,6,spinglass,nmi,0.16314949341095691,Iceland
177,6,spinglass,split-join,63.0,Iceland
178,6,spinglass,rand,0.4984170058796924,Iceland
179,6,spinglass,adjusted_rand,0.014749827922692374,Iceland
180,3,walktrap,vi,1.5194304498458744,Iceland
181,3,walktrap,nmi,0.06581745951656194,Iceland
182,3,walktrap,split-join,41.0,Iceland
183,3,walktrap,rand,0.2808683853459971,Iceland
184,3,walktrap,adjusted_rand,0.013918224122116634,Iceland
185,4,walktrap,vi,1.2593147758871637,Iceland
186,4,walktrap,nmi,0.36149709262562546,Iceland
187,4,walktrap,split-join,36.0,Iceland
188,4,walktrap,rand,0.46087743102668477,Iceland
189,4,walktrap,adjusted_rand,0.14819167296914687,Iceland
190,5,walktrap,vi,1.5722663371933983,Iceland
191,5,walktrap,nmi,0.3145530180798681,Iceland
192,5,walktrap,split-join,43.0,Iceland
193,5,walktrap,rand,0.4893713251922206,Iceland
194,5,walktrap,adjusted_rand,0.08939556272496352,Iceland
195,6,walktrap,vi,1.906552344877365,Iceland
196,6,walktrap,nmi,0.1394587070497607,Iceland
197,6,walktrap,split-join,59.0,Iceland
198,6,walktrap,rand,0.5323383084577112,Iceland
199,6,walktrap,adjusted_rand,0.07832437126429241,Iceland
0,4,between,vi,0.7816008505421188,Zebra
1,4,between,nmi,0.3813570283707504,Zebra
2,4,between,split-join,7.0,Zebra
3,4,between,rand,0.6561264822134385,Zebra
4,4,between,adjusted_rand,0.33571751923947446,Zebra
5,5,between,vi,0.46139625553410535,Zebra
6,5,between,nmi,0.6941497029358729,Zebra
7,5,between,split-join,4.0,Zebra
8,5,between,rand,0.8063241106719365,Zebra
9,5,between,adjusted_rand,0.6192216727585462,Zebra
10,6,between,vi,0.3166247326345326,Zebra
11,6,between,nmi,0.8084939299802772,Zebra
12,6,between,split-join,4.0,Zebra
13,6,between,rand,0.9367588932806323,Zebra
14,6,between,adjusted_rand,0.8734841855231902,Zebra
15,7,between,vi,0.3166247326345326,Zebra
16,7,between,nmi,0.8084939299802772,Zebra
17,7,between,split-join,4.0,Zebra
18,7,between,rand,0.9367588932806323,Zebra
19,7,between,adjusted_rand,0.8734841855231902,Zebra
20,14,between,vi,0.38984592639927773,Zebra
21,14,between,nmi,0.7682284879422709,Zebra
22,14,between,split-join,4.0,Zebra
23,14,between,rand,0.8853754940711465,Zebra
24,14,between,adjusted_rand,0.7698340496282591,Zebra
25,4,fastgreedy,vi,0.8435404080831748,Zebra
26,4,fastgreedy,nmi,0.3635345204854627,Zebra
27,4,fastgreedy,split-join,8.0,Zebra
28,4,fastgreedy,rand,0.6126482213438733,Zebra
29,4,fastgreedy,adjusted_rand,0.2833689808659456,Zebra
30,5,fastgreedy,vi,0.5233358130751617,Zebra
31,5,fastgreedy,nmi,0.666773012014052,Zebra
32,5,fastgreedy,split-join,5.0,Zebra
33,5,fastgreedy,rand,0.7628458498023714,Zebra
34,5,fastgreedy,adjusted_rand,0.543760519355614,Zebra
35,6,fastgreedy,vi,0.5741591230864784,Zebra
36,6,fastgreedy,nmi,0.6652679915667242,Zebra
37,6,fastgreedy,split-join,6.0,Zebra
38,6,fastgreedy,rand,0.8695652173913042,Zebra
39,6,fastgreedy,adjusted_rand,0.7389713928403937,Zebra
40,7,fastgreedy,vi,0.5741591230864784,Zebra
41,7,fastgreedy,nmi,0.6652679915667242,Zebra
42,7,fastgreedy,split-join,6.0,Zebra
43,7,fastgreedy,rand,0.8695652173913042,Zebra
44,7,fastgreedy,adjusted_rand,0.7389713928403937,Zebra
45,14,fastgreedy,vi,0.32790636885822133,Zebra
46,14,fastgreedy,nmi,0.8119766807592274,Zebra
47,14,fastgreedy,split-join,4.0,Zebra
48,14,fastgreedy,rand,0.9288537549407117,Zebra
49,14,fastgreedy,adjusted_rand,0.8563950554994958,Zebra
50,4,infomap,vi,0.6955676342844497,Zebra
51,4,infomap,nmi,0.45419886178270863,Zebra
52,4,infomap,split-join,6.0,Zebra
53,4,infomap,rand,0.675889328063241,Zebra
54,4,infomap,adjusted_rand,0.3763977395695562,Zebra
55,5,infomap,vi,0.6460053693486604,Zebra
56,5,infomap,nmi,0.5748719076857786,Zebra
57,5,infomap,split-join,6.0,Zebra
58,5,infomap,rand,0.7865612648221343,Zebra
59,5,infomap,adjusted_rand,0.5812028692293543,Zebra
60,6,infomap,vi,0.3056390135381972,Zebra
61,6,infomap,nmi,0.816358705048503,Zebra
62,6,infomap,split-join,4.0,Zebra
63,6,infomap,rand,0.9407114624505928,Zebra
64,6,infomap,adjusted_rand,0.8813877168307546,Zebra
65,7,infomap,vi,0.3056390135381972,Zebra
66,7,infomap,nmi,0.816358705048503,Zebra
67,7,infomap,split-join,4.0,Zebra
68,7,infomap,rand,0.9407114624505928,Zebra
69,7,infomap,adjusted_rand,0.8813877168307546,Zebra
70,14,infomap,vi,0.4008316454956127,Zebra
71,14,infomap,nmi,0.7632435621991973,Zebra
72,14,infomap,split-join,5.0,Zebra
73,14,infomap,rand,0.8814229249011856,Zebra
74,14,infomap,adjusted_rand,0.7617851986692608,Zebra
75,4,labelprop,vi,0.0,Zebra
76,4,labelprop,nmi,1.0,Zebra
77,4,labelprop,split-join,0.0,Zebra
78,4,labelprop,rand,1.0,Zebra
79,4,labelprop,adjusted_rand,1.0,Zebra
80,5,labelprop,vi,0.44075193075756913,Zebra
81,5,labelprop,nmi,0.5677130467482341,Zebra
82,5,labelprop,split-join,3.0,Zebra
83,5,labelprop,rand,0.841897233201581,Zebra
84,5,labelprop,adjusted_rand,0.6344194783613901,Zebra
85,6,labelprop,vi,0.8056118149117568,Zebra
86,6,labelprop,nmi,0.30810367806335015,Zebra
87,6,labelprop,split-join,8.0,Zebra
88,6,labelprop,rand,0.6403162055335967,Zebra
89,6,labelprop,adjusted_rand,0.2821240372922576,Zebra
90,7,labelprop,vi,0.8056118149117568,Zebra
91,7,labelprop,nmi,0.30810367806335015,Zebra
92,7,labelprop,split-join,8.0,Zebra
93,7,labelprop,rand,0.6403162055335967,Zebra
94,7,labelprop,adjusted_rand,0.2821240372922576,Zebra
95,14,labelprop,vi,0.8788330086765022,Zebra
