,method1,method2,metric,value,dataName
78,infomap,multilevel,rand,0.21943371943371934,Copperfield
79,infomap,multilevel,adjusted_rand,0.009721870776521875,Copperfield
80,infomap,multilevel,vi,1.8679281564355898,Copperfield
81,infomap,multilevel,nmi,0.06483293847859115,Copperfield
82,infomap,multilevel,split-join,92.0,Copperfield
83,infomap,multilevel,rand,0.18436293436293438,Copperfield
84,infomap,multilevel,adjusted_rand,0.005831991766248784,Copperfield
85,infomap,multilevel,vi,1.9344432060745245,Copperfield
86,infomap,multilevel,nmi,0.062244629966839986,Copperfield
88,infomap,multilevel,rand,0.2588481338481339,Copperfield
89,infomap,multilevel,adjusted_rand,0.020104768435960728,Copperfield
90,infomap,multilevel,vi,1.873097963862599,Copperfield
91,infomap,multilevel,nmi,0.04977489659620742,Copperfield
92,infomap,multilevel,split-join,85.0,Copperfield
93,infomap,multilevel,rand,0.18581081081081074,Copperfield
94,infomap,multilevel,adjusted_rand,0.004894664114917,Copperfield
95,infomap,multilevel,vi,1.8767869597282836,Copperfield
96,infomap,multilevel,nmi,0.06739781013547798,Copperfield
98,infomap,multilevel,rand,0.19353281853281842,Copperfield
99,infomap,multilevel,adjusted_rand,0.012657122027736988,Copperfield
100,infomap,multilevel,vi,1.6320569544528314,Copperfield
101,infomap,multilevel,nmi,0.05857179720824438,Copperfield
103,infomap,multilevel,rand,0.21541184041184033,Copperfield
104,infomap,multilevel,adjusted_rand,-9.665205515015978e-05,Copperfield
105,infomap,multilevel,vi,1.7897763066034758,Copperfield
106,infomap,multilevel,nmi,0.08051391070108545,Copperfield
108,infomap,multilevel,rand,0.18822393822393826,Copperfield
109,infomap,multilevel,adjusted_rand,-0.0007953813411652086,Copperfield
110,infomap,multilevel,vi,1.8904431785142826,Copperfield
111,infomap,multilevel,nmi,0.05440945291353341,Copperfield
113,infomap,multilevel,rand,0.223938223938224,Copperfield
114,infomap,multilevel,adjusted_rand,0.0013757128352504823,Copperfield
115,infomap,multilevel,vi,1.9228701573841365,Copperfield
116,infomap,multilevel,nmi,0.12598897724203476,Copperfield
118,infomap,multilevel,rand,0.2121943371943371,Copperfield
119,infomap,multilevel,adjusted_rand,0.009371392432434887,Copperfield
120,infomap,multilevel,vi,1.9054947595039156,Copperfield
121,infomap,multilevel,nmi,0.05336812348376726,Copperfield
123,infomap,multilevel,rand,0.18082368082368067,Copperfield
124,infomap,multilevel,adjusted_rand,0.01824393509766853,Copperfield
125,infomap,multilevel,vi,2.0633614577858648,Copperfield
126,infomap,multilevel,nmi,0.04761692325058438,Copperfield
128,infomap,multilevel,rand,0.22747747747747743,Copperfield
129,infomap,multilevel,adjusted_rand,0.009237595938764174,Copperfield
130,infomap,multilevel,vi,2.0298223597122877,Copperfield
131,infomap,multilevel,nmi,0.057518583027714856,Copperfield
133,infomap,multilevel,rand,0.18806306306306295,Copperfield
134,infomap,multilevel,adjusted_rand,0.006474631622315996,Copperfield
0,infomap,multilevel,vi,1.25691408249868,Bsubtilis
1,infomap,multilevel,nmi,0.7822961748666655,Bsubtilis
2,infomap,multilevel,split-join,113.0,Bsubtilis
3,infomap,multilevel,rand,0.9342033861515086,Bsubtilis
4,infomap,multilevel,adjusted_rand,0.754371477189923,Bsubtilis
5,infomap,multilevel,vi,0.9555165539239954,Bsubtilis
6,infomap,multilevel,nmi,0.7998242012781497,Bsubtilis
8,infomap,multilevel,rand,0.9470371174299976,Bsubtilis
9,infomap,multilevel,adjusted_rand,0.6938503607199421,Bsubtilis
10,infomap,multilevel,vi,0.9586491554858232,Bsubtilis
11,infomap,multilevel,nmi,0.7875223136393532,Bsubtilis
13,infomap,multilevel,rand,0.9249511612763188,Bsubtilis
14,infomap,multilevel,adjusted_rand,0.7032065336438127,Bsubtilis
15,infomap,multilevel,vi,1.0352703936151495,Bsubtilis
16,infomap,multilevel,nmi,0.7910364843849079,Bsubtilis
17,infomap,multilevel,split-join,118.0,Bsubtilis
18,infomap,multilevel,rand,0.9266062513566312,Bsubtilis
19,infomap,multilevel,adjusted_rand,0.7941283459072299,Bsubtilis
20,infomap,multilevel,vi,1.0223798392647092,Bsubtilis
21,infomap,multilevel,nmi,0.7990438069082281,Bsubtilis
22,infomap,multilevel,split-join,121.0,Bsubtilis
23,infomap,multilevel,rand,0.9254124158888648,Bsubtilis
24,infomap,multilevel,adjusted_rand,0.7067897359711809,Bsubtilis
25,infomap,multilevel,vi,0.9864901020930046,Bsubtilis
26,infomap,multilevel,nmi,0.7958805772964243,Bsubtilis
27,infomap,multilevel,split-join,85.0,Bsubtilis
28,infomap,multilevel,rand,0.936618189711309,Bsubtilis
29,infomap,multilevel,adjusted_rand,0.709828256425493,Bsubtilis
30,infomap,multilevel,vi,0.8949305090072048,Bsubtilis
31,infomap,multilevel,nmi,0.7516159115824746,Bsubtilis
32,infomap,multilevel,split-join,115.0,Bsubtilis
33,infomap,multilevel,rand,0.9296993705231168,Bsubtilis
34,infomap,multilevel,adjusted_rand,0.6993261960206499,Bsubtilis
35,infomap,multilevel,vi,0.9266325368460859,Bsubtilis
36,infomap,multilevel,nmi,0.8015190037305937,Bsubtilis
37,infomap,multilevel,split-join,106.0,Bsubtilis
38,infomap,multilevel,rand,0.929183850662036,Bsubtilis
39,infomap,multilevel,adjusted_rand,0.655754903497455,Bsubtilis
40,infomap,multilevel,vi,1.0181811604458981,Bsubtilis
41,infomap,multilevel,nmi,0.7387270582511695,Bsubtilis
42,infomap,multilevel,split-join,112.0,Bsubtilis
43,infomap,multilevel,rand,0.8933145213805079,Bsubtilis
44,infomap,multilevel,adjusted_rand,0.72774926107251,Bsubtilis
45,infomap,multilevel,vi,0.9765826209713766,Bsubtilis
46,infomap,multilevel,nmi,0.8115461739947206,Bsubtilis
47,infomap,multilevel,split-join,124.0,Bsubtilis
48,infomap,multilevel,rand,0.9429400911656173,Bsubtilis
49,infomap,multilevel,adjusted_rand,0.7708437130945378,Bsubtilis
50,infomap,multilevel,vi,0.8859223981980531,Bsubtilis
51,infomap,multilevel,nmi,0.7927828146997321,Bsubtilis
52,infomap,multilevel,split-join,107.0,Bsubtilis
53,infomap,multilevel,rand,0.9333351421749513,Bsubtilis
54,infomap,multilevel,adjusted_rand,0.6596070950828047,Bsubtilis
55,infomap,multilevel,vi,1.2936863156655978,Bsubtilis
56,infomap,multilevel,nmi,0.7891705456448628,Bsubtilis
57,infomap,multilevel,split-join,116.0,Bsubtilis
58,infomap,multilevel,rand,0.9294823095289777,Bsubtilis
59,infomap,multilevel,adjusted_rand,0.6957547324096136,Bsubtilis
60,infomap,multilevel,vi,0.9608627332878412,Bsubtilis
61,infomap,multilevel,nmi,0.7874902330954594,Bsubtilis
62,infomap,multilevel,split-join,105.0,Bsubtilis
63,infomap,multilevel,rand,0.9368352507054484,Bsubtilis
64,infomap,multilevel,adjusted_rand,0.5517600850343644,Bsubtilis
65,infomap,multilevel,vi,0.9446852155527079,Bsubtilis
66,infomap,multilevel,nmi,0.8067648881695368,Bsubtilis
67,infomap,multilevel,split-join,108.0,Bsubtilis
68,infomap,multilevel,rand,0.9391143911439115,Bsubtilis
69,infomap,multilevel,adjusted_rand,0.6977179030958098,Bsubtilis
70,infomap,multilevel,vi,0.8812442965585223,Bsubtilis
71,infomap,multilevel,nmi,0.7933755653036447,Bsubtilis
72,infomap,multilevel,split-join,104.0,Bsubtilis
73,infomap,multilevel,rand,0.9247612329064467,Bsubtilis
75,infomap,multilevel,vi,0.9512010458808842,Bsubtilis
76,infomap,multilevel,nmi,0.7877362902400356,Bsubtilis
77,infomap,multilevel,split-join,91.0,Bsubtilis
78,infomap,multilevel,rand,0.9175710874755807,Bsubtilis
79,infomap,multilevel,adjusted_rand,0.7032755427920888,Bsubtilis
80,infomap,multilevel,vi,0.9905894267322961,Bsubtilis
81,infomap,multilevel,nmi,0.7824735296904618,Bsubtilis
83,infomap,multilevel,rand,0.932602561319731,Bsubtilis
84,infomap,multilevel,adjusted_rand,0.6980868040899874,Bsubtilis
85,infomap,multilevel,vi,0.9763008265860824,Bsubtilis
86,infomap,multilevel,nmi,0.8097343905618822,Bsubtilis
87,infomap,multilevel,split-join,114.0,Bsubtilis
88,infomap,multilevel,rand,0.9338506620360323,Bsubtilis
89,infomap,multilevel,adjusted_rand,0.6622984518983397,Bsubtilis
0,infomap,multilevel,vi,0.1715598532658329,Iceland
1,infomap,multilevel,nmi,0.7251017449469935,Iceland
2,infomap,multilevel,split-join,4.0,Iceland
3,infomap,multilevel,rand,0.9728629579375848,Iceland
4,infomap,multilevel,adjusted_rand,0.6699349531279896,Iceland
6,infomap,multilevel,nmi,0.904339612600459,Iceland
8,infomap,multilevel,rand,0.8733604703753959,Iceland
9,infomap,multilevel,adjusted_rand,0.9467582854204645,Iceland
10,infomap,multilevel,vi,0.32223410707387545,Iceland
11,infomap,multilevel,nmi,0.77672396749662,Iceland
12,infomap,multilevel,split-join,22.0,Iceland
13,infomap,multilevel,rand,0.9773857982813207,Iceland
15,infomap,multilevel,vi,0.6928207651107283,Iceland
16,infomap,multilevel,nmi,0.770860481865825,Iceland
17,infomap,multilevel,split-join,27.0,Iceland
18,infomap,multilevel,rand,0.8778833107191317,Iceland
19,infomap,multilevel,adjusted_rand,0.908076465745907,Iceland
20,infomap,multilevel,vi,0.33464530398483827,Iceland
21,infomap,multilevel,nmi,0.8052276482137354,Iceland
23,infomap,multilevel,rand,0.984622342831298,Iceland
24,infomap,multilevel,adjusted_rand,0.6098291358184349,Iceland
26,infomap,multilevel,nmi,0.9504086874026074,Iceland
29,infomap,multilevel,adjusted_rand,0.6367488743826629,Iceland
31,infomap,multilevel,nmi,0.9246203026591252,Iceland
32,infomap,multilevel,split-join,10.0,Iceland
33,infomap,multilevel,rand,0.8647670737222976,Iceland
35,infomap,multilevel,vi,0.7726680490179025,Iceland
36,infomap,multilevel,nmi,0.7497645393291223,Iceland
37,infomap,multilevel,split-join,6.0,Iceland
40,infomap,multilevel,vi,0.7932381252449425,Iceland
41,infomap,multilevel,nmi,0.7860361869343687,Iceland
46,infomap,multilevel,nmi,0.7467501391868121,Iceland
51,infomap,multilevel,nmi,0.9512502721595923,Iceland
52,infomap,multilevel,split-join,20.0,Iceland
53,infomap,multilevel,rand,0.9068294889190412,Iceland
55,infomap,multilevel,vi,0.6909502043266125,Iceland
58,infomap,multilevel,rand,0.9131614654002714,Iceland
60,infomap,multilevel,vi,0.22161894824556816,Iceland
62,infomap,multilevel,split-join,2.0,Iceland
66,infomap,multilevel,nmi,0.919006821925958,Iceland
71,infomap,multilevel,nmi,0.7507405871785713,Iceland
82,infomap,multilevel,split-join,14.0,Iceland
83,infomap,multilevel,rand,0.9656264133876072,Iceland
85,infomap,multilevel,vi,0.2652759387161989,Iceland
87,infomap,multilevel,split-join,8.0,Iceland
88,infomap,multilevel,rand,0.9764812302125734,Iceland
89,infomap,multilevel,adjusted_rand,0.8341040576562339,Iceland
94,infomap,multilevel,adjusted_rand,0.6462740601266986,Iceland
108,infomap,multilevel,rand,0.885119855269109,Iceland
113,infomap,multilevel,rand,0.8968792401628222,Iceland
115,infomap,multilevel,vi,0.8564778892364502,Iceland
117,infomap,multilevel,split-join,24.0,Iceland
120,infomap,multilevel,vi,0.4740574022848305,Iceland
124,infomap,multilevel,adjusted_rand,0.8874270015337264,Iceland
125,infomap,multilevel,vi,0.6007664837100211,Iceland
129,infomap,multilevel,adjusted_rand,0.921703360912448,Iceland
134,infomap,multilevel,adjusted_rand,0.8213931084474816,Iceland
139,infomap,multilevel,adjusted_rand,0.6083225675436285,Iceland
140,infomap,multilevel,vi,0.2282897445624581,Iceland
150,infomap,multilevel,vi,0.7476800956232377,Iceland
154,infomap,multilevel,adjusted_rand,0.5947382570018088,Iceland
164,infomap,multilevel,adjusted_rand,0.8694619552528399,Iceland
167,infomap,multilevel,split-join,12.0,Iceland
169,infomap,multilevel,adjusted_rand,0.8972835314091686,Iceland
176,infomap,multilevel,nmi,0.9348309466071122,Iceland
179,infomap,multilevel,adjusted_rand,0.6593499635319191,Iceland
188,infomap,multilevel,rand,0.8783355947535052,Iceland
191,infomap,multilevel,nmi,0.8036622164871007,Iceland
193,infomap,multilevel,rand,0.8959746720940752,Iceland
198,infomap,multilevel,rand,0.8887381275440976,Iceland
0,infomap,multilevel,vi,0.46411494245917106,Zebra
1,infomap,multilevel,nmi,0.7457356098144086,Zebra
2,infomap,multilevel,split-join,4.0,Zebra
3,infomap,multilevel,rand,0.9051383399209485,Zebra
4,infomap,multilevel,adjusted_rand,0.808054624770816,Zebra
0,infomap,multilevel,vi,0.5642923189786622,Dolphins
1,infomap,multilevel,nmi,0.8818064122723202,Dolphins
2,infomap,multilevel,split-join,12.0,Dolphins
3,infomap,multilevel,rand,0.9217345319936542,Dolphins
4,infomap,multilevel,adjusted_rand,0.8063471548332878,Dolphins
5,infomap,multilevel,vi,0.3686048359866243,Dolphins
6,infomap,multilevel,nmi,0.8777108258434729,Dolphins
7,infomap,multilevel,split-join,15.0,Dolphins
8,infomap,multilevel,rand,0.9735589635113696,Dolphins
9,infomap,multilevel,adjusted_rand,0.7611509759877652,Dolphins
10,infomap,multilevel,vi,0.46301848470165297,Dolphins
11,infomap,multilevel,nmi,0.9396221068246445,Dolphins
12,infomap,multilevel,split-join,13.0,Dolphins
14,infomap,multilevel,adjusted_rand,0.9246396171644728,Dolphins
15,infomap,multilevel,vi,0.337158940615244,Dolphins
18,infomap,multilevel,rand,0.9375991538868323,Dolphins
19,infomap,multilevel,adjusted_rand,0.7004363928636348,Dolphins
20,infomap,multilevel,vi,0.7230046481051557,Dolphins
23,infomap,multilevel,rand,0.9566367001586463,Dolphins
24,infomap,multilevel,adjusted_rand,0.7478183560068984,Dolphins
25,infomap,multilevel,vi,0.40470550706841824,Dolphins
26,infomap,multilevel,nmi,0.8535395342000681,Dolphins
27,infomap,multilevel,split-join,10.0,Dolphins
28,infomap,multilevel,rand,0.9275515600211528,Dolphins
29,infomap,multilevel,adjusted_rand,0.8729914045465643,Dolphins
30,infomap,multilevel,vi,0.5059793413454274,Dolphins
31,infomap,multilevel,nmi,0.7425744242493006,Dolphins
33,infomap,multilevel,rand,0.8974087784241143,Dolphins
34,infomap,multilevel,adjusted_rand,0.6606171100021522,Dolphins
35,infomap,multilevel,vi,0.34294424543376234,Dolphins
36,infomap,multilevel,nmi,0.8760698050916634,Dolphins
37,infomap,multilevel,split-join,4.0,Dolphins
38,infomap,multilevel,rand,0.9280803807509256,Dolphins
39,infomap,multilevel,adjusted_rand,0.7693189902880807,Dolphins
41,infomap,multilevel,nmi,0.8727279607657477,Dolphins
42,infomap,multilevel,split-join,6.0,Dolphins
43,infomap,multilevel,rand,0.9687995769434162,Dolphins
44,infomap,multilevel,adjusted_rand,0.9296188774750627,Dolphins
45,infomap,multilevel,vi,0.5424687206980026,Dolphins
47,infomap,multilevel,split-join,19.0,Dolphins
48,infomap,multilevel,rand,0.9386567953463777,Dolphins
49,infomap,multilevel,adjusted_rand,0.8168195894545336,Dolphins
50,infomap,multilevel,vi,0.0,Dolphins
53,infomap,multilevel,rand,0.9513484928609203,Dolphins
54,infomap,multilevel,adjusted_rand,0.8586781291550226,Dolphins
55,infomap,multilevel,vi,0.18175831063464232,Dolphins
57,infomap,multilevel,split-join,8.0,Dolphins
60,infomap,multilevel,vi,0.26733100170961466,Dolphins
63,infomap,multilevel,rand,0.9497620306716023,Dolphins
66,infomap,multilevel,nmi,0.9114029260932063,Dolphins
67,infomap,multilevel,split-join,11.0,Dolphins
