,method1,method2,metric,value,dataName
12,infomap,multilevel,split-join,91.0,Copperfield
13,infomap,multilevel,rand,0.20511583011583015,Copperfield
14,infomap,multilevel,adjusted_rand,0.011063896366751319,Copperfield
15,infomap,multilevel,vi,1.6736480881649354,Copperfield
16,infomap,multilevel,nmi,0.06475903222241029,Copperfield
17,infomap,multilevel,split-join,89.0,Copperfield
18,infomap,multilevel,rand,0.20849420849420852,Copperfield
19,infomap,multilevel,adjusted_rand,0.021740831913147674,Copperfield
20,infomap,multilevel,vi,1.9171559613006484,Copperfield
21,infomap,multilevel,nmi,0.060067198473136046,Copperfield
23,infomap,multilevel,rand,0.18597168597168587,Copperfield
24,infomap,multilevel,adjusted_rand,0.005297701274780533,Copperfield
25,infomap,multilevel,vi,1.9141584343039326,Copperfield
26,infomap,multilevel,nmi,0.06721128156575254,Copperfield
28,infomap,multilevel,rand,0.21573359073359083,Copperfield
29,infomap,multilevel,adjusted_rand,0.0051469121269284105,Copperfield
30,infomap,multilevel,vi,1.7187990143594294,Copperfield
31,infomap,multilevel,nmi,0.0689980563399808,Copperfield
32,infomap,multilevel,split-join,92.0,Copperfield
33,infomap,multilevel,rand,0.1805019305019306,Copperfield
34,infomap,multilevel,adjusted_rand,0.008849889075324467,Copperfield
35,infomap,multilevel,vi,1.7398352778343205,Copperfield
36,infomap,multilevel,nmi,0.06796007359571614,Copperfield
37,infomap,multilevel,split-join,90.0,Copperfield
38,infomap,multilevel,rand,0.1832368082368083,Copperfield
39,infomap,multilevel,adjusted_rand,0.00044888567474001955,Copperfield
40,infomap,multilevel,vi,1.709512816769579,Copperfield
41,infomap,multilevel,nmi,0.05047597502278251,Copperfield
42,infomap,multilevel,split-join,85.0,Copperfield
43,infomap,multilevel,rand,0.19160231660231672,Copperfield
44,infomap,multilevel,adjusted_rand,0.011995543521679565,Copperfield
45,infomap,multilevel,vi,1.795162015790127,Copperfield
46,infomap,multilevel,nmi,0.06175327974878556,Copperfield
48,infomap,multilevel,rand,0.16055341055341063,Copperfield
49,infomap,multilevel,adjusted_rand,0.004378495492452036,Copperfield
50,infomap,multilevel,vi,1.8579155255686641,Copperfield
51,infomap,multilevel,nmi,0.062419583247083646,Copperfield
53,infomap,multilevel,rand,0.1782496782496782,Copperfield
54,infomap,multilevel,adjusted_rand,0.005569002114599924,Copperfield
55,infomap,multilevel,vi,1.7308133830537746,Copperfield
56,infomap,multilevel,nmi,0.03824799813066511,Copperfield
57,infomap,multilevel,split-join,93.0,Copperfield
58,infomap,multilevel,rand,0.20431145431145423,Copperfield
