,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
P70965,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71003,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71006,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71012,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71014,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71021,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71042,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71070,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P71080,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P80866,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P80868,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P80877,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94404,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94412,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94413,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94417,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94461,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94492,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94514,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94532,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P94542,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P94591,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96591,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96593,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96604,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96648,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96669,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96706,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P96722,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
P97032,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q01466,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q01467,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q04747,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Q04778,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q06754,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q07867,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q07868,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q08794,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q9R9I1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
order,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
